MOM_ID	SAS_ID	PROJECT	PREDECESSOR_MOM_ID	PREDECESSOR_SAS_ID	STORAGE_MANAGER	SPACE_USED	CHANNELWIDTH	MAX_EXPOSURE	MIN_EXPOSURE	NR_CORRELATED
575031	372704	LC4_007	574953	372548	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575033	372708	LC4_007	574954	372550	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575035	372712	LC4_007	574955	372552	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575037	372716	LC4_007	574956	372554	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575039	372720	LC4_007	574957	372556	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575041	372724	LC4_007	574958	372558	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575043	372728	LC4_007	574959	372560	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575045	372732	LC4_007	574960	372562	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575047	372736	LC4_007	574961	372564	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575049	372740	LC4_007	574962	372566	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575051	372744	LC4_007	574963	372568	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575053	372748	LC4_007	574964	372570	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575055	372752	LC4_007	574965	372572	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575057	372756	LC4_007	574966	372574	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575059	372760	LC4_007	574967	372576	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575061	372764	LC4_007	574968	372578	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575063	372768	LC4_007	574969	372580	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575065	372772	LC4_007	574970	372582	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575067	372776	LC4_007	574971	372584	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575069	372780	LC4_007	574972	372586	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575071	372784	LC4_007	574973	372588	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575073	372788	LC4_007	574974	372590	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575075	372792	LC4_007	574975	372592	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575077	372796	LC4_007	574976	372594	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575079	372800	LC4_007	574977	372596	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
575081	372804	LC4_007	574978	372598	CasaStorageManagers	0.00251578368	48828.125	1802.0	1802.0	9
578305	370538	Commissioning2015	578303	370534	CasaStorageManagers	1.6365742592	6103.515625	3600.0	3600.0	240
578307	370542	Commissioning2015	578304	370536	CasaStorageManagers	1.6297550848	6103.515625	3600.0	3600.0	239
578317	370556	Commissioning2015	578315	370552	CasaStorageManagers	1.63657730048	6103.515625	3600.0	3600.0	240
606567	421075	Commissioning2015	599970	403734	CasaStorageManagers	1.6365848576	6103.515625	3600.0	3600.0	240
622138	425141	LC5_022	622137	425139	CasaStorageManagers	0.09487582208	48828.125	1442.0	1442.0	411
622146	425153	LC5_022	622145	425151	CasaStorageManagers	0.09486892032	48828.125	1442.0	1442.0	411
622154	425165	LC5_022	622153	425163	CasaStorageManagers	0.0948696064	48828.125	1442.0	1442.0	411
622162	425177	LC5_022	622161	425175	CasaStorageManagers	0.09486091264	48828.125	1442.0	1442.0	411
622170	425189	LC5_022	622169	425187	CasaStorageManagers	0.09486930944	48828.125	1442.0	1442.0	411
622178	425201	LC5_022	622177	425199	CasaStorageManagers	0.09464019968	48828.125	1442.0	1442.0	410
622186	425213	LC5_022	622185	425211	CasaStorageManagers	0.09487137792	48828.125	1442.0	1442.0	411
622194	425225	LC5_022	622193	425223	CasaStorageManagers	0.09464153088	48828.125	1442.0	1442.0	410
622202	425237	LC5_022	622201	425235	CasaStorageManagers	0.0948673536	48828.125	1442.0	1442.0	411
622210	425249	LC5_022	622209	425247	CasaStorageManagers	0.09440356352	48828.125	1442.0	1442.0	409
628811	425573	LT5_006	628751	425453	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628813	425577	LT5_006	628752	425455	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628815	425581	LT5_006	628753	425457	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628817	425585	LT5_006	628754	425459	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628819	425589	LT5_006	628755	425461	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628821	425593	LT5_006	628756	425463	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628823	425597	LT5_006	628757	425465	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628825	425601	LT5_006	628758	425467	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628827	425605	LT5_006	628759	425469	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628829	425609	LT5_006	628760	425471	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628831	425613	LT5_006	628761	425473	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628833	425617	LT5_006	628762	425475	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628835	425621	LT5_006	628763	425477	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628837	425625	LT5_006	628764	425479	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628839	425629	LT5_006	628765	425481	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628841	425633	LT5_006	628766	425483	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628843	425637	LT5_006	628767	425485	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628845	425641	LT5_006	628768	425487	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628847	425645	LT5_006	628769	425489	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628849	425649	LT5_006	628770	425491	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628851	425653	LT5_006	628771	425493	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628853	425657	LT5_006	628772	425495	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628855	425661	LT5_006	628773	425497	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628857	425665	LT5_006	628774	425499	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628859	425669	LT5_006	628775	425501	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628861	425673	LT5_006	628776	425503	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628863	425677	LT5_006	628777	425505	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628865	425681	LT5_006	628778	425507	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628867	425685	LT5_006	628779	425509	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628869	425689	LT5_006	628780	425511	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628871	425693	LT5_006	628781	425513	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628873	425697	LT5_006	628782	425515	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628875	425701	LT5_006	628783	425517	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628877	425705	LT5_006	628784	425519	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628879	425709	LT5_006	628785	425521	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628881	425713	LT5_006	628786	425523	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628883	425717	LT5_006	628787	425525	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628885	425721	LT5_006	628788	425527	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628887	425725	LT5_006	628789	425529	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628889	425729	LT5_006	628790	425531	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628891	425733	LT5_006	628791	425533	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628893	425737	LT5_006	628792	425535	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
628895	425741	LT5_006	628793	425537	CasaStorageManagers	0.00618643456	12207.03125	1502.0	1502.0	8
