SAS_ID	PROJECT	PREDDECESSOR_MOM_ID	PREDECESSOR_SAS_ID	PREDECESSOR_TYPE	STORAGE_MANAGER	SPACE_USED	RA	DEC	SAPS	FREQ_RES	TIME_RES	CHANNEL_WIDTH	CLOCK	MAX_EXPOSURE	MIN_EXPOSURE	ANTENNA_SET	NR_STATIONS	NR_INT_STATIONS	NR_CORRELATED	DEMIXING
245279	LC1_014	431120	431120	Beam Observation - 110-190 MHz	CasaStorageManagers	0.09530131456	2.12835416667E+002	5.2202777777800002E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	380	1
245281	LC1_014	431124	431124	Beam Observation - 110-190 MHz	CasaStorageManagers	0.09530215424	2.7738216666699998E+002	4.87463888889E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	380	1
245283	LC1_014	431128	431128	Beam Observation - 110-190 MHz	CasaStorageManagers	0.09530205184	2.9986816666700003E+002	4.0733916666699997E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	380	1
245285	LC1_014	431132	431132	Beam Observation - 110-190 MHz	CasaStorageManagers	0.09530215424	1.2340000000000001E+002	4.8217388888899997E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	380	1
245287	LC1_014	431136	431136	Beam Observation - 110-190 MHz	CasaStorageManagers	0.0947999744	1.87705916667E+002	1.2391111111100001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	36	0	378	1
245289	LC1_014	431140	431140	Beam Observation - 110-190 MHz	CasaStorageManagers	0.1078805504	2.02784583333E+002	3.0509166666700001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245291	LC1_014	431144	431144	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788036608	2.12835416667E+002	5.2202777777800002E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245293	LC1_014	431148	431148	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788025344	2.7738216666699998E+002	4.87463888889E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245295	LC1_014	431152	431152	Beam Observation - 110-190 MHz	CasaStorageManagers	0.1078803456	2.9986816666700003E+002	4.0733916666699997E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245297	LC1_014	431156	431156	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788040704	1.2340000000000001E+002	4.8217388888899997E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245299	LC1_014	431160	431160	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788056064	1.87705916667E+002	1.2391111111100001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245301	LC1_014	431164	431164	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788104192	2.02784583333E+002	3.0509166666700001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245303	LC1_014	431168	431168	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788016128	2.12835416667E+002	5.2202777777800002E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245305	LC1_014	431172	431172	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788030464	2.7738216666699998E+002	4.87463888889E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245307	LC1_014	431176	431176	Beam Observation - 110-190 MHz	CasaStorageManagers	0.1078800384	2.9986816666700003E+002	4.0733916666699997E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245309	LC1_014	431180	431180	Beam Observation - 110-190 MHz	CasaStorageManagers	0.1073124352	3.5085000000000002E+002	5.8814999999999998E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	378	1
245311	LC1_014	431184	431184	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788030464	1.2340000000000001E+002	4.8217388888899997E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245313	LC1_014	431188	431188	Beam Observation - 110-190 MHz	CasaStorageManagers	0.1078802432	1.87705916667E+002	1.2391111111100001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245315	LC1_014	431192	431192	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788122624	2.02784583333E+002	3.0509166666700001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245317	LC1_014	431196	431196	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788092928	2.12835416667E+002	5.2202777777800002E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245319	LC1_014	431200	431200	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10759646208	2.7738216666699998E+002	4.87463888889E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	379	1
245321	LC1_014	431204	431204	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788020224	2.9986816666700003E+002	4.0733916666699997E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245323	LC1_014	431208	431208	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10731229184	3.5085000000000002E+002	5.8814999999999998E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	378	1
245325	LC1_014	431212	431212	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788031488	1.87705916667E+002	1.2391111111100001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245327	LC1_014	431216	431216	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788097024	2.02784583333E+002	3.0509166666700001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245329	LC1_014	431220	431220	Beam Observation - 110-190 MHz	CasaStorageManagers	0.1078815232	2.12835416667E+002	5.2202777777800002E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245331	LC1_014	431224	431224	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788045824	2.7738216666699998E+002	4.87463888889E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245333	LC1_014	431228	431228	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788036608	2.9986816666700003E+002	4.0733916666699997E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245335	LC1_014	431232	431232	Beam Observation - 110-190 MHz	CasaStorageManagers	0.1078808576	3.5085000000000002E+002	5.8814999999999998E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245337	LC1_014	431236	431236	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10759791616	1.87705916667E+002	1.2391111111100001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	379	1
245339	LC1_014	431240	431240	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788144128	2.02784583333E+002	3.0509166666700001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245341	LC1_014	431244	431244	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788281344	2.12835416667E+002	5.2202777777800002E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245343	LC1_014	431248	431248	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788159488	2.7738216666699998E+002	4.87463888889E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245345	LC1_014	431252	431252	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10759704576	2.9986816666700003E+002	4.0733916666699997E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	379	1
245347	LC1_014	431256	431256	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788135936	3.5085000000000002E+002	5.8814999999999998E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245349	LC1_014	431260	431260	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788197376	1.87705916667E+002	1.2391111111100001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245351	LC1_014	431264	431264	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788228096	2.02784583333E+002	3.0509166666700001E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245353	LC1_014	431268	431268	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788227072	2.12835416667E+002	5.2202777777800002E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
245355	LC1_014	431272	431272	Beam Observation - 110-190 MHz	CasaStorageManagers	0.10788226048	2.7738216666699998E+002	4.87463888889E+001	0	6103.515624	2.00278	3051.757812	200	179	179	HBA Dual Inner	38	0	380	1
