MOM_ID	SAS_ID	PROJECT	OBSERVATION_TYPE	SUCCESSOR_MOM_ID	SUCCESSOR_SAS_ID	SUCCESSOR_TYPE	STORAGE_MANAGER	SPACE_USED	RA	DEC	SAPS	CHANNELWIDTH	CLOCK	TIME_RES	MAX_EXPOSURE	MIN_EXPOSURE	ANTENNA_SET	NR_STATIONS	NR_INT_STATIONS	NR_CORRELATED	Size dysco compr [TB]	Expected compression time if LBA per subband	Expected compression time if HBA per subband	Expected compression time per dataset [HR]
240109	118523	LC0_026	Interferometer - 110-190 MHz				LofarStorageManager	3,718928794	1,4896479166699999E+002,1,48888221096E+002,1,4969685459600001E+002	6,9679386666699997E+001,6,9065294851100006E+001,6,5565227244400006E+001	0,1,2	0,30517578125	200	1,139	14399	0	HBA Joined	44	8	480	0,9669214863	1799,875	10439,275	1391,903333
240116	118524	LC0_026	Interferometer - 110-190 MHz				LofarStorageManager	0,411090944	1,2340000000000001E+002	4,8217500000000001E+001	0	0,30517578125	200	1,139	14399	0	HBA Joined	44	8	160	0,1068836454	1799,875	10439,275	463,9677778
240119	118525	LC0_026	Interferometer - 110-190 MHz				LofarStorageManager	3,718928794	1,4896479166699999E+002,1,48888221096E+002,1,4969685459600001E+002	6,9679386666699997E+001,6,9065294851100006E+001,6,5565227244400006E+001	0,1,2	0,30517578125	200	1,139	14399	0	HBA Joined	44	8	480	0,9669214863	1799,875	10439,275	1391,903333
240126	118526	LC0_026	Interferometer - 110-190 MHz				LofarStorageManager	0,411090944	1,2340000000000001E+002	4,8217500000000001E+001	0	0,30517578125	200	1,139	14399	0	HBA Joined	44	8	160	0,1068836454	1799,875	10439,275	463,9677778
240129	118527	LC0_026	Interferometer - 110-190 MHz				LofarStorageManager	3,718928794	1,4896479166699999E+002,1,48888221096E+002,1,4969685459600001E+002	6,9679386666699997E+001,6,9065294851100006E+001,6,5565227244400006E+001	0,1,2	0,30517578125	200	1,139	14399	0	HBA Joined	44	8	480	0,9669214863	1799,875	10439,275	1391,903333
240136	118528	LC0_026	Interferometer - 110-190 MHz				LofarStorageManager	0,411090944	1,2340000000000001E+002	4,8217500000000001E+001	0	0,30517578125	200	1,139	14399	0	HBA Joined	44	8	160	0,1068836454	1799,875	10439,275	463,9677778
240139	118529	LC0_026	Interferometer - 110-190 MHz				LofarStorageManager	3,718928794	1,4896479166699999E+002,1,48888221096E+002,1,4969685459600001E+002	6,9679386666699997E+001,6,9065294851100006E+001,6,5565227244400006E+001	0,1,2	0,30517578125	200	1,139	14399	0	HBA Joined	44	8	480	0,9669214863	1799,875	10439,275	1391,903333
240146	118530	LC0_026	Interferometer - 110-190 MHz				LofarStorageManager	0,411090944	1,2340000000000001E+002	4,8217500000000001E+001	0	0,30517578125	200	1,139	14399	0	HBA Joined	44	8	160	0,1068836454	1799,875	10439,275	463,9677778
240149	118531	LC0_026	Interferometer - 110-190 MHz				LofarStorageManager	3,718928794	1,4896479166699999E+002,1,48888221096E+002,1,4969685459600001E+002	6,9679386666699997E+001,6,9065294851100006E+001,6,5565227244400006E+001	0,1,2	0,30517578125	200	1,139	14399	0	HBA Joined	44	8	480	0,9669214863	1799,875	10439,275	1391,903333
247882	123752	LC0_043	Interferometer - 110-190 MHz				LofarStorageManager	0,7882665984	2,03E+02	3,0509166669999999E+001	0	0,30517578125	200	2,278	14399	0	HBA Dual Inner	37	0	324	0,2049493156	1799,875	10439,275	939,53475
