MOM_ID	SAS_ID	PROJECT	OBSERVATION_TYPE	SUCCESSOR_MOM_ID	SUCCESSOR_SAS_ID	SUCCESSOR_TYPE	STORAGE_MANAGER	SPACE_USED	RA	DEC	SAPS	CHANNELWIDTH	CLOCK	TIME_RES	MAX_EXPOSURE	MIN_EXPOSURE	ANTENNA_SET	NR_STATIONS	NR_INT_STATIONS	NR_CORRELATED	Size dysco compr [TB]	Expected compression time if LBA per subband	Expected compression time if HBA per subband	Expected compression time per dataset
517717	341504	LC3_012	Beam Observation - 10-90 MHz				LofarStorageManager	0,00248976384	8,36E+01	2,20E+01	0	0	200	1,000079	59	0	LBA Outer	24	0	258	0,0006473385984	11,8	41,3	0,8456666667
518631	342366	LC3_012	Beam Observation - 10-90 MHz				LofarStorageManager	0,00267362304	8,36E+01	2,20E+01	0	0	200	1,000079	59	59	LBA Outer	24	0	258	0,0006951419904	11,8	41,3	0,8456666667
519136	343038	LC3_012	Beam Observation - 10-90 MHz				LofarStorageManager	0,00227997696	8,36E+01	2,20E+01	0	0	200	1,000079	59	59	LBA Outer	22	0	258	0,0005927940096	11,8	41,3	0,8456666667
519922	343436	test-lofar	Beam Observation - 110-190 MHz				LofarStorageManager	0,9315531162	1,23E+02	4,82E+01	0	0	200	1,00139	899	899	HBA Dual Inner	38	0	244	0,2422038102	179,8	629,3	42,65255556
527041	346878	LC4_016	Beam Observation - 10-90 MHz				LofarStorageManager	0,00247547904	8,36E+01	2,20E+01	0	0	200	1,000079	59	59	LBA Outer	23	0	258	0,0006436245504	11,8	41,3	0,8456666667
527109	346950	LC4_016	Beam Observation - 10-90 MHz				LofarStorageManager	0,00247547904	8,36E+01	2,20E+01	0	0	200	1,000079	59	59	LBA Outer	23	0	258	0,0006436245504	11,8	41,3	0,8456666667
527123	346960	LC4_016	Beam Observation - 10-90 MHz				LofarStorageManager	0,00247547904	8,36E+01	2,20E+01	0	0	200	1,000079	59	59	LBA Outer	23	0	258	0,0006436245504	11,8	41,3	0,8456666667
527134	346968	LC4_016	Beam Observation - 10-90 MHz				LofarStorageManager	0,00247547904	8,36E+01	2,20E+01	0	0	200	1,000079	59	59	LBA Outer	23	0	258	0,0006436245504	11,8	41,3	0,8456666667
527145	346980	LC4_016	Beam Observation - 10-90 MHz				LofarStorageManager	0,00247547904	8,36E+01	2,20E+01	0	0	200	1,000079	59	59	LBA Outer	23	0	258	0,0006436245504	11,8	41,3	0,8456666667
527587	347152	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,0586999296	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	35	0	369	0,0152619817	17,6	61,6	6,314
527590	347156	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,795515351	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	35	0	369	0,2068339913	239,8	839,3	86,02825
527593	347160	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,0585408512	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	35	0	369	0,01522062131	17,6	61,6	6,314
527596	347164	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,795515351	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	35	0	369	0,2068339913	239,8	839,3	86,02825
527599	347168	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,0586999296	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	35	0	369	0,0152619817	17,6	61,6	6,314
527602	347172	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,795515351	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	35	0	369	0,2068339913	239,8	839,3	86,02825
527605	347176	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,0586999296	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	35	0	369	0,0152619817	17,6	61,6	6,314
527608	347180	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,795515351	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	35	0	369	0,2068339913	239,8	839,3	86,02825
527611	347184	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,0586999296	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	35	0	369	0,0152619817	17,6	61,6	6,314
527614	347188	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,795515351	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	35	0	369	0,2068339913	239,8	839,3	86,02825
